Code,Description,Default_Translation (en-en),Target_Translation (sl-si),Has_Translation
I18N_ACTUAL_VS_PREVIOUS,I18NCode for Actual vs Previous,Current vs previous,Trenutno proti prejšnjemu,Yes
I18N_AD,I18NCode for AD,AD,AD,Yes
I18N_ADD_A_PROFILE_PICTURE_TO_HELP_WITH_MEMBER_IDENTIFICATION,I18NCode for add a profile picture to help with member identification,add a profile picture to help with member identification,AD,Yes
I18N_ADD_AS,I18NCode for Add as,Add as,Dodaj kot,Yes
I18N_ADD_BNI_GAME,I18NCode for Bni Game,Add Bni Game,Dodajte igro Bni,Yes
I18N_ADD_CODEI18N,I18NCode to add a new I18NCode,Add Code,Dodaj kodo,Yes
I18N_ADD_CONTEXT,I18NCode to add a new context,Add Context,Dodajte kontekst,Yes
I18N_ADD_DIRECTOR,I18NCode for Add Director in Users Page,Add Director,Dodaj direktorja,Yes
I18N_ADD_GOAL,I18NCode for Add Goal,Add Goal,Dodaj cilj,Yes
I18N_ADD_KPI,I18NCode for Add Kpi,Add KPI,Dodajte KPI,Yes
I18N_ADD_LANGUAGE,I18NCode to add a new language,Add Language,Dodaj jezik,Yes
I18N_ADD_MECHANISM,I18NCode for Add Mechanism,Add Mechanism,Dodajte mehanizem,Yes
I18N_ADD_MEMBER_TO_THE_GROUP,I18NCode for Add Member to the group,Add Member to the group,Dodajte člana v skupino,Yes
I18N_ADD_MEMBERS_TO_FORM_THE_TEAM,I18NCode for Add members to form the team,Add members to form the team,"Dodajte člane, da oblikujete ekipo",Yes
I18N_ADD_MODULE,I18NCode to add a new Module,Add Module,Dodaj modul,Yes
I18N_ADD_NEW_MENU,I18NCode for Add New Menu,Add Menu,Dodaj meni,Yes
I18N_ADD_NEW_REGISTRY,I18NCode for Add New Registry,Add New Registry,Dodaj nov register,Yes
I18N_ADD_PROFILE,I18NCode for Add Button in Profiles Page,Add Profile,Dodaj profil,Yes
I18N_ADD_TEAM,I18NCode for Add Team,Add Team,Dodaj ekipo,Yes
I18N_ADDRESS,I18NCode for Address,Address,Naslov,Yes
I18N_ADDRESS_AND_ZIP_CODE,"I18NCode for Address and zip code
",Address and zip code,Naslov in poštna številka,Yes
I18N_ADMIN,I18NCode for admin,Admin,skrbnik,Yes
I18N_ADVANCED_DASHBOARD,I18NCode for Advanced Dashboard,Advanced Dashboard,skrbnik,Yes
I18N_ADVANCED_SEARCH,"i18NCode for Advanced search
",Advanced search,Napredno iskanje,Yes
I18N_ALERT,I18NCode for Alert,Alert,Opozorilo,Yes
I18N_ALERT_REPORT,I18NCode for Alert Report,Alerts Report,Poročilo o opozorilih,Yes
I18N_ALERT_TYPE,I18NCode for Alert Type,Alert Type,Vrsta opozorila,Yes
I18N_ALERTS_LIST,I18Ncode for Alerts List,Alerts List,Seznam opozoril,Yes
I18N_ALL,I18NCode for ALL ,All,Vse,Yes
I18N_ALL_CHAPTERS,I18NCode for All Chapters,All Chapters,Vsa poglavja,Yes
I18N_ALL_DDL,I18NCode for All on DDL,All,Vse,Yes
I18N_ALL_MEMBERS_ADDED,I18NCode for All Members Added ,All members have already been added to the team.,Vsi člani so že bili dodani v ekipo.,Yes
I18N_ALL_TRANSLATIONS,I18NCode for all translations label,All Translations,Vsi prevodi,Yes
I18N_ALLOW_BCC_SUBMISSIONS,I18NCode for Allow BCC Submissions label,Allow sending with Bcc,Vsi prevodi,Yes
I18N_ALLOW_EMAIL_SUBMISSIONS,I18NCode for Allow Email Submissions label,Allow email submissions,Dovoli pošiljanje po e-pošti,Yes
I18N_ALLOW_FOR,I18NCode for Allow For,Allow for,Dovolite za,Yes
I18N_ALLOW_USERS_TO_VOTE_ON_MORE_THAN_ONE_OPTION,I18NCode for Allow users to vote on more than one option.,Allow users to vote on more than one option,"Omogočite uporabnikom, da glasujejo za več kot eno možnost",Yes
I18N_ALLOWED_NUMBER_OF_FILES_ERROR_MESSAGE,I18NCode for Allowed Number Of Files Error Message,Only up to 2 files may be uploaded!,Naložite lahko največ 2 datoteki!,Yes
I18N_AM,I18NCode for #AM,#AM,#dopoldan,Yes
I18N_AMB,I18NCode for AMB,AMB,AMB,Yes
I18N_AMBASSADOR,I18NCode for Ambassador,Ambassador,Veleposlanik,Yes
I18N_AMBASSADORS_TOTAL,I18NCode for Ambassadors Total,Ambassadors,Veleposlaniki,Yes
I18N_AN_ERROR_OCCURRED,I18NCode for An Error Occurred,An Error occurred,Prišlo je do napake,Yes
I18N_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
",Analytical cookies,Analitični piškotki,Yes
I18N_ANSWER_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
","These cookies make it possible to examine the use and the performance of the site and to improve its operation by carrying out analyses of visits to the information pages, by monitoring the open rates, the click rates and the bounce rates at the individual level.","Ti piškotki omogočajo preverjanje uporabe in učinkovitosti spletnega mesta ter izboljšanje njegovega delovanja z izvajanjem analiz obiskanosti informacijskih strani, s spremljanjem stopnje odprtosti, stopnje klikov in stopnje obiskov ene strani na posamezni ravni.",Yes
I18N_ANSWER_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,"For complementary information not included in this privacy policy, or to exercise any your rights, you can contact our Data Protection Officer by email at","Za dodatne informacije, ki niso vključene v ta pravilnik o zasebnosti, ali za uveljavljanje svojih pravic se lahko obrnete na našo pooblaščeno osebo za varstvo podatkov po e-pošti na",Yes
I18N_ANSWER_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER_2,I18NCode for ANSWER CONTACT DETAILS OF OUR_DATA PROTECTION OFFICER 2,"If you are not satisfied with us, you have the right to lodge a complaint with <strong>Portugal’s Supervisory Authority</strong> at","Če z nami niste zadovoljni, imate pravico do vložitve pritožbe pri <strong>portugalskem nadzornem organu</strong> na",Yes
I18N_ANSWER_COOKIE_MANAGEMENT,I18NCode for Cookie management,"Users can accept or reject cookies on the site or refuse them once and for all through their browser settings. If the User chooses to refuse all cookies, navigation onto certain pages of the site will be reduced.

Depending on the browser used by Users, the methods for deleting cookies are as follows:",Uporabniki lahko sprejmejo ali zavrnejo piškotke na spletnem mestu ali pa jih dokončno zavrnejo v nastavitvah brskalnika.,Yes
I18N_ANSWER_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
","Cookies are placed on the User’s terminal for a maximum period of 13 months from the date of the User’s consent. After this period, consent will be re-obtained.",Piškotki so nameščeni na uporabnikovem terminalu za največ 13 mesecev od datuma soglasja uporabnika.,Yes
I18N_ANSWER_FOR_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,"Your personal data is used exclusively to generate reports sent to you, your chapter members, your chapter Director Consultant, chapter Area Director Consultant, Regional Executive Director or your chapter Ambassador. We also use your personal data at <strong>Reporting2You</strong> website on which only BNI Directors and authorized personnel have access.","Vaši osebni podatki se uporabljajo izključno za ustvarjanje poročil, ki se pošiljajo vam, članom vašega chapterja, svetovalcu direktorja vašega chapterja, svetovalcu področnega direktorja chapterja, regionalnemu izvršnemu direktorju ali ambasadorju vašega chapterja.",Yes
I18N_ANSWER_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",These cookies make it possible to personalise the User experience.,Ti piškotki omogočajo prilagajanje uporabniške izkušnje.,Yes
I18N_ANSWER_HOW_ANISETUPTASKSINR2YANDAUTOMATEZEROTOONETASK,I18NCode for Answer How anISetupTasksInR2YAndAutomateZeroToOneTask,"Starting in January 1st, 2020, Reporting2You can automatically generate tasks for directors so they can implement Zero-To-One procedure to increase Retention.<br/>
Please watch this video to understand what a Zero-To-One is, who to use it and how to setup Tasks inside Reporting2You.","Od 1. januarja 2020 lahko Reporting2You samodejno ustvari naloge za direktorje, tako da lahko izvajajo postopek Zero-to-One za povečanje zadrževanja.<br/>",Yes
I18N_ANSWER_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,"We have taken all steps necessary to protect the information in our systems. We utilize encryption (for communication and storage) and security software to safeguard the confidentiality of personal information we process from unauthorized access or disclosure and accidental loss, alteration or destruction. We also perform regular tests to our infrastructure and systems in order to identify security vulnerabilities.

If you have access to Reporting2You website, remember that your account is protected in part by your password. It is important that you protect and maintain your account security and that you tell us immediately of any unauthorized use of your account.",Sprejeli smo vse potrebne korake za zaščito podatkov v naših sistemih.,Yes
I18N_ANSWER_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,"Your information will be kept in our system while you are a BNI Member, Director or Ambassador and up to 2 years after the termination of this relationship.","Vaši podatki bodo shranjeni v našem sistemu, dokler ste član, direktor ali veleposlanik BNI in do 2 leti po prekinitvi tega razmerja.",Yes
I18N_ANSWER_IMNEWINREPORTING2YOUISTHEREANYQUICKOVERVIEW,"I18NCode for Answer ImNewInReporting2YouIsThereAnyQuickOverview

","If you are starting using Reporting2You, you should start with this video","Če začenjate uporabljati Reporting2You, bi morali začeti s tem videoposnetkom",Yes
I18N_ANSWER_IMPLEMENT_GAME,I18NCode for Answer Implement Game,"From now on you can easily implement a BNI Game in your chapters and forget about all the administrative work that you, your Directors or your leadership teams would have to make it happen.<br/>
Please watch this video and learn how to use it.","Od zdaj naprej lahko preprosto implementirate igro BNI v svoja poglavja in pozabite na vse administrativno delo, ki bi ga morali vi, vaši direktorji ali vaše vodstvene ekipe.<br/>",Yes
I18N_ANSWER_ON_FIREFOX,"Answer On Firefox
","<li>Click on the Browser Tools icon, select the Options menu.</li>
<li>In the window that appears, choose “Privacy” and click on ""Display cookies"".</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Kliknite ikono Orodja brskalnika, izberite meni Možnosti.</li>",Yes
I18N_ANSWER_ON_GOOGLE_CHROME,I18NCode for Answer On Google Chrome,"<li>Click on the Tools icon, select the Options menu then click the Advanced Options tab.</li>
<li>And access the “Confidentiality” section.</li>
<li>Click on the “Show Cookies” button.</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Kliknite ikono Orodja, izberite meni Možnosti in kliknite zavihek Napredne možnosti.</li>",Yes
I18N_ANSWER_ON_INTERNET_EXPLORER,i18NCode for Answer On Internet Explorer,"<li>Click the Tools button, then Internet Options.</li>
<li>Under the General tab, under Navigation History, click Settings.</li>
<li>Click the Show Files button.</li>
<li>Select the cookies to refuse and click on delete.</li>",<li>Kliknite gumb Orodja in nato Internetne možnosti.</li>,Yes
I18N_ANSWER_ON_SAFARI,i18NCode for Answer on Safari,"<li>Click the Edit icon, select the Preferences menu.</li>
<li>Click on Security and then on Show cookies.</li>
<li>Select the cookies to refuse and click on delete.</li>","<li>Kliknite ikono Uredi, izberite meni Nastavitve.</li>",Yes
I18N_ANSWER_SHARING_BUTTON_COOKIES,I18NCode for Answer Sharing button cookies,These social cookies allow users to share pages and content on third-party social networks via social sharing buttons.,Ti socialni piškotki uporabnikom omogočajo skupno rabo strani in vsebin na družabnih omrežjih tretjih oseb prek gumbov za skupno rabo v družabnih omrežjih.,Yes
I18N_ANSWER_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,I18NCode for Answer The cookies necessary for navigation on the site,"These cookies are necessary for the functioning of the site. They allow the main features of the site to be used. Without these cookies, Users cannot use the site normally.",Ti piškotki so potrebni za delovanje strani.,Yes
I18N_ANSWER_WHAT_ARE_YOUR_RIGHTS,I18NCode for What are your rights,"You have the right to access your data and that your personal data is always kept up to date. Also, you have the right to ask for us to erase all your data if you think this is in your best interest. Additionally, you have the right to withdraw your consent, in which case we will stop processing your data, meaning that your name will not be visible at any report nor at reporting2you website.

To exercise any of your rights, you may contact our Data Protection Officer, identified in the end of this policy.",Pravico imate do dostopa do svojih podatkov in do vedno ažurnega ažuriranja vaših osebnih podatkov.,Yes
I18N_ANSWER_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for Answer What information do we collect about you,"<p>To be able to provide our services, we download from BNI Connect the following information about you:</p>

<ul>
  <li>
    First and Last Name, Company Name, Profession, Email, Telephones, BNI Role, Join Date, Renewal Date, weekly PALMS records, Membership activity and Training Attendance (if applicable in your region or chapter).
  </li>
  <li>
    If you have access to the Reporting2You website (only BNI Directors or authorized personnel), we also collect, by automatic means and through the use of the <strong>Reporting2You</strong> website, the following information: Cookies (with your authorization on the website) and Analytics (with IP anonymization).
  </li>
</ul>
",<p>Za zagotavljanje naših storitev iz BNI Connect prenesemo naslednje podatke o vas:</p>,Yes
I18N_ANSWER_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,"We have a formal agreement with the your BNI Franchisee, which authorizes us to collect your data from BNI Connect. We process data with your consent under Article 6 1(a) of the General Data Protection Regulation.","Imamo uradno pogodbo z vašim franšizojemalcem BNI, ki nas pooblašča za zbiranje vaših podatkov iz BNI Connect.",Yes
I18N_ANSWER_WHO_ARE_WE,i18NCode for Answer Who Are We,"<strong>DeepEye</strong> is the organization that develops and maintains the <strong>Reporting2You</strong> application and platform, aimed at giving you tools to achieve high performance and better results from your BNI membership by preparing and sending you reports that help you take decisions and actions to succeed.

We have our office established in Portugal.","<strong>DeepEye</strong> je organizacija, ki razvija in vzdržuje aplikacijo in platformo <strong>Reporting2You</strong>, katere cilj je ponuditi orodja za doseganje visoke učinkovitosti in boljših rezultatov iz članstva v BNI, tako da vam pripravi in pošlje poročila, ki vam pomagajo pri sprejemanju odločitev in dejanjih za uspeh.",Yes
I18N_ANSWER_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,"Only you, members of your chapter, BNI Directors or the Franchisee authorized personnel can receive reports containing your personal information.","Samo vi, člani vašega poglavja, direktorji BNI ali pooblaščeno osebje franšizije lahko prejmete poročila, ki vsebujejo vaše osebne podatke.",Yes
I18N_ANSWERDOMEMBERSHAVEACCESSTOR2Y,I18NCode for I18NAnswerDoMembersHaveAccessToR2Y,Members from your region should watch this video.,Člani iz vaše regije bi si morali ogledati ta video.,Yes
I18N_ANWSER_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,"A cookie is a piece of information placed on the hard drive of Internet users by the server of the site they visit. It contains several pieces of data: the name of the server which installed it, an identifier in the form of a unique number, and possibly an expiry date. This information is sometimes stored on the computer in a simple text file that a server accesses to read and save pieces of information.

The <strong>Reporting2You</strong> uses cookies whose purpose is to facilitate navigation on the site, to execute the service provided by <strong>DeepEye</strong>, to measure the site’s audience or to allow pages on the site to be shared.","Piškotek je podatek, ki ga na trdi disk uporabnikov interneta shrani strežnik spletnega mesta, ki ga obiščejo.",Yes
I18N_APPLICATION_DATE_,I18NCode for Application Date	,Application Date,Datum prijave,Yes
I18N_APPLY,I18NCode for Apply,Apply,Prijavite se,Yes
I18N_APRIL,I18NCode for April,April,aprila,Yes
I18N_ARE_YOU_SURE_YOU_WANT_TO_REMOVE_THIS_MEMBER_,I18NCode for Are you sure you want to remove this member?,Are you sure you want to remove this member?,"Ali ste prepričani, da želite odstraniti tega člana?",Yes
I18N_AREA,I18NCode for Area,Area,Območje,Yes
I18N_AREA_DIRECTOR_CONSULTANTS,I18NCode for Area Director Consultants,Area Director Consultants,Svetovalci območnih direktorjev,Yes
I18N_AREA_DIRECTORS,I18NCode for Area Directors Page ,Area Directors,Območni direktorji,Yes
I18N_ARRIVING_TO_GREEN,I18NCode for Arriving to Green,Arriving to green,Prihod na zelenico,Yes
I18N_ASSIGNED,I18NCode for Assigned ,Assigned,Dodeljeno,Yes
I18N_ATTE,I18NCode for Atte.,Atte.,Atte.,Yes
I18N_ATTENDANCE_6_MONTHS,I18NCode for Attendance 6 Months,Attendance (6 month),Prisotnost (6 mesecev),Yes
I18N_ATTENDENCE,Attendence,Attendence,Udeležba,Yes
I18N_ATTENTION,I18NCode for Attention,Take Care,Bodite previdni,Yes
I18N_ATTENTION_COUNTRY,I18NCode for Menu Attention Country,Attention Country,Država Pozor,Yes
I18N_ATTENTION_MULTIREGION,I18NCode for Menu Attention Multiregion,Attention MultiRegion,Pozor MultiRegion,Yes
I18N_AUGUST,I18NCode for August,August,avgusta,Yes
I18N_AVAILABLE,I18NCode for Available,Available,Na voljo,Yes
I18N_AVAILABLE_MECANISMS,I18NCode for Available Mecanisms,Available Mecanisms,Razpoložljivi mehanizmi,Yes
I18N_AVAILABLE_MEMBERS,I18NCode for Available Members,Available Members,Razpoložljivi člani,Yes
I18N_AVERAGE_6AM,I18NCode for average(6 am),average (6 m),povprečno (6 m),Yes
I18N_AVERAGE_CHAPTER_SIZE,I18NCode for Average Chapter Size,Average Size,Povprečna velikost,Yes
I18N_AVERAGE_POINTS,I18NCode for Average Points,Average points,Povprečne točke,Yes
I18N_AVERAGE_SIZE,I18NCode for average size,Average Size,Povprečna velikost,Yes
I18N_AVG,I18NCode for #Grn on table label,Avg,Povpr,Yes
I18N_AVG_DAYS,I18NCode for AVG Days,Average Days,Povprečni dnevi,Yes
I18N_AVG_POINTS_MEMBER,I18NCode for Avg Points Member,Average points by member,Povprečne točke po članih,Yes
I18N_BACK_TO_LOGIN,I18NCode for Back to login,Back to login page,Nazaj na stran za prijavo,Yes
I18N_BACK_TO_LOGIN_PAGE,I18NCode for Back To Login Page,Back to login page,Nazaj na stran za prijavo,Yes
I18N_BASE,I18NCodes for base,Base,Osnova,Yes
I18N_BEST_PRATICES,I18NCode for Best Pratices,Best Pratices,Najboljše prakse,Yes
I18N_BEST_PRATICES_CONTENT,I18NCode for BEST PRATICES Content,"<ul class=""m-4"">
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Entry and Exit of Members during the previous month can only take place by 16:00 of the second working day of each month, as the information which will form the basis for the monthly calculation shall be downloaded at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly PALMS reports should be entered by the second working day of each month as Member Traffic Lights will be calculated at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">PALMS reports should be entered during the 48h following the meeting and cannot be more than 4 weeks late, as they will not be considered by Reporting2You;</span>
        </li>
        <li class=""text-primary m-6"">
            <span class=""text-gray-600 fs-6"">
                Members should not be allowed to change their names and if this happens, a notification should be sent to 
                <a href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                   title=""Enviar email para info@reporting2you.com"">
                    info@reporting2you.com
                </a>
                ;
            </span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Groups should not be allowed to change their names and if this happens, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">All Groups should have a Director Consultant and Area Director on BNI Connect</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">In order to use the Core Group report as soon as the director enters the PALMS report on BNI Connect, an e-mail should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Regions using Group goals will have a more detailed weekly report for Leadership Teams, as it will contain the evolution of the 8 Key Success Factors over the last two months and the current month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly Reports shall be calculated at the end of the second working day of each month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Leadership Teams should be up to date by 16:00 of the second working day of April and October. If any changes occur, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">If you want to stop receiving email with the reports, you need to uncheck the “Send emails” at “Regional Administration->Regional Settings->The Region” menu at reporting2you.com;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You should use “Regional Administration->Regional Settings->Reports” menu to set who receives each report;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You must write the word “substitution” in the drop notes, if the drop reason is really for substitute the member.</span>
        </li>
    </ul>","<ul class=""m-4"">",Yes
I18N_BEST_PRATICES_MESSAGE,I18NCode for Best Pratices Message on page,It is crucial for us to make clear what good practices are necessary for the proper operation of Reporting2You and in this sense we would like you to pay attention to the 10 points shown below:,"Za nas je ključnega pomena, da pojasnimo, katere dobre prakse so potrebne za pravilno delovanje Reporting2You, in v tem smislu želimo, da ste pozorni na 10 točk, prikazanih spodaj:",Yes
I18N_BEST_PRATICES_NOTE,I18NCode for Best Pratices Note,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,"OPOMBA: Reporting2You ni odgovoren za kakršna koli poročila, ki temeljijo na napačnih ali nepopolnih informacijah, ki so posledica neskladnosti s katero koli od zgoraj navedenih točk.",Yes
I18N_BNI_DAYS,I18NCode for BNI Days,BNI Days,Dnevi BNI,Yes
I18N_BNI_GAME_INFORMATION,I18NCode for Bni Game Information,BNI Game Information,Informacije o igri BNI,Yes
I18N_BNI_GAME_NAME,I18NCode for BNI Game Name,BNI Game Name,Ime igre BNI,Yes
I18N_BNI_GAMES,I18NCode for Bni Games Menu,BNI Games,Igre BNI,Yes
